ATECO,ATECO_Desc,Natura,Fatturato,Dipendenti,Provincia,Business_Size,Revenue_Size,Industry,Total_Revenue_36M,Active_Months
J.63.12.00,Portali web,1.a Impresa,17734128,79,MB,Medium (51-250),Large (>10M),Information/Technology,476598,17
J.63.11.10,Elaborazione dati,1.b Azienda individuale,222394,8,SA,Micro (1-10),Small (100k-1M),Information/Technology,516860,36
G.47.62.10,Commercio al dettaglio di giornali riviste e periodici,1.b Azienda individuale,0,3,Unknown,Micro (1-10),No revenue,Wholesale/Retail,187464,29
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,20165499,64,TO,Medium (51-250),Large (>10M),Wholesale/Retail,400370,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,1402563,9,TO,Micro (1-10),Medium (1M-10M),Business Services,496194,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,1806926,3,MI,Micro (1-10),Medium (1M-10M),Wholesale/Retail,345637,35
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,237321,16,PT,Small (11-50),Small (100k-1M),Transportation,506123,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,343010,2,MI,Micro (1-10),Small (100k-1M),Transportation,781404,36
G.46.18.31,"""Agenti e rappresentanti di prodotti farmaceutici; prodotti di erboristeria per uso medico""",1.a Impresa,3031866,48,Unknown,Small (11-50),Medium (1M-10M),Wholesale/Retail,648297,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,1172144,6,Unknown,Micro (1-10),Medium (1M-10M),Wholesale/Retail,533652,34
G.47.61.00,Commercio al dettaglio di libri in esercizi specializzati,1.a Impresa,0,11,VI,Small (11-50),No revenue,Wholesale/Retail,380710,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,681821,4,Unknown,Micro (1-10),Small (100k-1M),Wholesale/Retail,224730,16
H.53.20.00,Altre attività postali e di corriere senza obbligo di servizio universale ,1.a Impresa,0,0,TI,No employees,No revenue,Transportation,395336,36
A.01.25.00,Coltivazione di altri alberi da frutta frutti di bosco e in guscio,1.a Impresa,2153204,3,Unknown,Micro (1-10),Medium (1M-10M),Other,332597,36
G.47.65.00,Commercio al dettaglio di giochi e giocattoli in esercizi specializzati,1.b Azienda individuale,0,9,AG,Micro (1-10),No revenue,Wholesale/Retail,336784,36
N.82.19.09,Servizi di fotocopiatura preparazione di documenti e altre attività di supporto specializzate per le funzioni d'ufficio,1.a Impresa,1245468,4,TA,Micro (1-10),Medium (1M-10M),Business Services,576141,36
J.62.09.09,Altre attività dei servizi connessi alle tecnologie dell'informatica nca,1.a Impresa,11237493,107,RM,Medium (51-250),Large (>10M),Information/Technology,202581,16
H.52.29.21,Intermediari dei trasporti,1.a Impresa,7217616,25,PD,Small (11-50),Medium (1M-10M),Transportation,285388,36
G.46.74.10,Commercio all'ingrosso di articoli in ferro e in altri metalli (ferramenta),1.b Azienda individuale,0,2,KR,Micro (1-10),No revenue,Wholesale/Retail,310233,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,252637,12,FR,Small (11-50),Small (100k-1M),Transportation,512100,36
H.52.29.10,Spedizionieri e agenzie di operazioni doganali,1.a Impresa,533559,3,VR,Micro (1-10),Small (100k-1M),Transportation,415800,36
G.47.62.20,Commercio al dettaglio di articoli di cartoleria e forniture per ufficio,1.a Impresa,2556227,11,AP,Small (11-50),Medium (1M-10M),Wholesale/Retail,261182,36
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.a Impresa,7937957,54,MN,Medium (51-250),Medium (1M-10M),Business Services,318555,36
C.14.14.00,Confezione di biancheria intima,1.a Impresa,20817735,57,MO,Medium (51-250),Large (>10M),Manufacturing,506163,36
G.46.65.00,Commercio all'ingrosso di mobili per ufficio e negozi,1.a Impresa,998751,6,MI,Micro (1-10),Small (100k-1M),Wholesale/Retail,974874,23
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.b Azienda individuale,0,2,PA,Micro (1-10),No revenue,Transportation,379952,36
H.52.29.21,Intermediari dei trasporti,1.a Impresa,3636763,13,TV,Small (11-50),Medium (1M-10M),Transportation,492422,36
H.52.29.22,Servizi logistici relativi alla distribuzione delle merci,1.a Impresa,179240,1,FI,Micro (1-10),Small (100k-1M),Transportation,466065,36
G.47.91.10,Commercio al dettaglio di qualsiasi tipo di prodotto effettuato via internet,1.a Impresa,10129396,12,SA,Small (11-50),Large (>10M),Wholesale/Retail,528485,36
C.10.86.00,Produzione di preparati omogeneizzati e di alimenti dietetici,1.a Impresa,279893,2,SA,Micro (1-10),Small (100k-1M),Manufacturing,280613,26
G.47.73.10,Farmacie,1.a Impresa,31585606,132,RM,Medium (51-250),Large (>10M),Wholesale/Retail,542810,35
N.82.99.99,Altri servizi di sostegno alle imprese nca,1.b Azienda individuale,226523,2,BT,Micro (1-10),Small (100k-1M),Business Services,498292,36
